;text1.txt;text2.txt;text3.txt;text4.txt;text5.txt;text6.txt;text7.txt;text8.txt;text9.txt;text10.txt;text11.txt;text12.txt;text13.txt;text14.txt;text15.txt
boe;4.922048746683433;10.739015447309308;11.63393340125175;9.396638516395644;4.474589769712212;3.5796718157697693;2.237294884856106;6.264425677597096;5.816966700625875;4.922048746683433;0.44745897697122117;0.0;0.0;0.0;0.0
push;4.754887502163468;1.584962500721156;1.584962500721156;1.584962500721156;0.0;0.0;0.0;1.584962500721156;0.0;0.0;0.0;0.0;0.0;0.0;0.0
back;2.2108967824986188;0.0;1.4739311883324124;1.4739311883324124;0.0;0.7369655941662062;1.4739311883324124;0.0;0.7369655941662062;0.7369655941662062;0.0;0.7369655941662062;0.7369655941662062;0.0;0.0
max;9.359400011538499;11.114287513701967;15.209025018750062;12.28421251514428;5.849625007211562;4.094737505048093;3.5097750043269373;5.264662506490406;7.019550008653875;2.924812503605781;0.0;0.0;0.0;0.0;0.0
return;2.3398500028846247;1.7548875021634687;2.924812503605781;3.5097750043269373;3.5097750043269373;0.0;0.5849625007211562;1.7548875021634687;1.1699250014423124;0.5849625007211562;0.0;0.0;0.5849625007211562;0.0;0.0
compani;5.816966700625875;7.60680260851076;6.264425677597096;6.711884654568317;0.0;1.3423769309136635;0.8949179539424423;0.8949179539424423;0.8949179539424423;0.44745897697122117;0.0;0.44745897697122117;0.0;0.0;0.44745897697122117
told;1.1699250014423124;1.7548875021634687;1.1699250014423124;0.5849625007211562;1.7548875021634687;1.1699250014423124;1.7548875021634687;1.1699250014423124;0.5849625007211562;0.0;0.0;0.0;0.0;0.0;0.5849625007211562
airlin;1.094892409060058;0.29860702065274314;0.6967497148564006;0.3981426942036575;0.09953567355091437;0.19907134710182875;0.19907134710182875;0.09953567355091437;0.29860702065274314;0.29860702065274314;0.29860702065274314;0.0;0.3981426942036575;0.8958210619582294;1.3934994297128012
expect;2.2108967824986188;0.0;0.7369655941662062;2.2108967824986188;0.7369655941662062;0.0;0.7369655941662062;2.947862376664825;0.0;2.947862376664825;0.0;1.4739311883324124;0.7369655941662062;0.0;0.0
regul;2.2534966642115366;3.2192809488736236;3.2192809488736236;1.2877123795494494;0.32192809488736235;0.6438561897747247;1.2877123795494494;1.2877123795494494;0.965784284662087;0.32192809488736235;0.0;0.0;0.0;0.6438561897747247;0.32192809488736235
approv;4.534452978042593;1.813781191217037;2.720671786825555;2.720671786825555;5.44134357365111;1.813781191217037;0.0;0.0;1.813781191217037;0.0;0.0;0.9068905956085185;0.0;0.0;0.0
plane;0.8958210619582294;0.796285388407315;1.59257077681463;1.094892409060058;0.29860702065274314;0.3981426942036575;0.5972140413054863;0.6967497148564006;0.6967497148564006;0.19907134710182875;0.3981426942036575;0.0;0.49767836775457186;0.09953567355091437;0.49767836775457186
fli;3.2192809488736236;2.2534966642115366;1.2877123795494494;1.6096404744368118;0.6438561897747247;0.965784284662087;0.0;0.965784284662087;0.32192809488736235;0.32192809488736235;0.0;0.0;0.6438561897747247;1.6096404744368118;0.6438561897747247
june;5.720671786825555;0.0;1.9068905956085185;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;1.9068905956085185;0.0
juli;2.9068905956085187;0.0;0.0;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
